#	Historical block-movement classification evidence and the current catalog gate input.
#
#	Every block class that overrides a hook the movement path reaches
#	must appear here, or `:block-catalog:checkClassification` fails the build. That is
#	the guarantee: not that every block is implemented, but that no block is
#	unaccounted for. UNSUPPORTED is a complete and safe answer — touching such a
#	cell must stop the rollout with a diagnosable reason (constraint 4). A class
#	that is simply missing is the dangerous one, because it reads as stone.
#
#	Columns: class, movement classification, server contact, reason.
#
#	The third column answers one narrow question, different from the second:
#	what body does this block's entityInside or stepOn run for a player on the
#	server beyond the movement path — a hit, an effect, a teleport, a freeze.
#	The capture writes it into the block's contact fact and the simulator's
#	server tick runs a MODELED body or refuses an UNMODELED one, so the
#	column must mean this hook family and nothing wider. A fallOn body is the
#	landing fact's. A fluid's body (WaterFluid, LavaFluid) is the fluid entry's,
#	resolved beside the block; LiquidBlock itself runs nothing on a player. A
#	world change the hook schedules (a tilting leaf, a breaking egg, a lit ore)
#	is not a body on the player. Reading lava's danger into LiquidBlock's row
#	once made every captured water cell refuse as an unmodeled block contact
#	in the source project; that is the mistake this contract exists to prevent.
#
#	 NONE no such body, or one that writes nothing on a player
#	 MODELED the simulator's server tick runs it; WorldCapture.contactFor names the class
#	 UNMODELED a body the slice does not model; a visit refuses
#
#	Committed, unlike the generated catalog: this is a list of Mojang symbol
#	names recorded as committed conformance evidence, not derived Mojang data.
#
#	Keyed by implementing class, because a hook inherited from an abstract
#	ancestor is that ancestor's to classify, not each subclass's.
#
#	classes:
#	 MODELED the kernel implements it and executable evidence verifies it
#	 GEOMETRY_ONLY the override only computes a shape; proved shape is a
#	 pure function of the state id, so the shape palette already
#	 carries it and no handler is needed
#	 NO_MOVEMENT_EFFECT the hook runs and touches nothing the audited vector
#	 carries. Needs the body read AND a capture containing the
#	 block agreeing raw-bit across the live, headless, and pure
#	 producers. This is the
#	 one class that can produce a silent wrong answer.
#	 UNSUPPORTED fail closed on contact
#
#	Upgrading an entry out of UNSUPPORTED needs its own differential evidence.
#	Downgrading one needs none because safety is free.
#
#implementing_class	class	server_contact	evidence_or_reason
BambooStalkBlock	GEOMETRY_ONLY	NONE	shape only
BedBlock	NO_MOVEMENT_EFFECT	NONE	fallOn only halves the fall distance passed to causeFallDamage. BED separately carries Properties.bounceRestitution(0.75F), a coefficient the hook audit does not see; the inert-hook-garden capture measures the bounce and the palette carries it
BeetrootBlock	NO_MOVEMENT_EFFECT	NONE	CropBlock.entityInside destroys the crop for a Ravager under ServerLevel and mob griefing; no audited field and nothing that touches a player
BellBlock	GEOMETRY_ONLY	NONE	shape only
BigDripleafBlock	UNSUPPORTED	NONE	entityInside is gated on `!level.isClientSide()`, so the client hook is inert; the server write tilts the leaf, a world change under the player represented as SERVER_MUTABLE_SUPPORT, not a body on the player
Block	MODELED	NONE	the baseline: default coefficients, fallOn and stepOn
BubbleColumnBlock	MODELED	NONE	inside/above column callbacks in the swept traversal
ButtonBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on !isClientSide and on arrow-activatable buttons, which stone is not; the button-trapdoor capture presses a stone button and agrees raw-bit
CactusBlock	NO_MOVEMENT_EFFECT	MODELED	entityInside only calls entity.hurt; damage is server surface and not in the audited vector
CalibratedSculkSensorBlock	NO_MOVEMENT_EFFECT	NONE	SculkSensorBlock.stepOn is ServerLevel-gated and only schedules a vibration; nothing is written on the player, and a warden a shrieker summons is a block actor
CampfireBlock	NO_MOVEMENT_EFFECT	MODELED	entityInside only calls entity.hurt, under LIT and LivingEntity
CarrotBlock	NO_MOVEMENT_EFFECT	NONE	Same inherited CropBlock.entityInside as BeetrootBlock
ComposterBlock	GEOMETRY_ONLY	NONE	shape only
CropBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on ServerLevel, Ravager and mob griefing ; unblocked once farmland could be captured, which is the dependency named
DetectorRailBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on !level.isClientSide()
EndGatewayBlock	UNSUPPORTED	UNMODELED	entityInside teleports
EndPortalBlock	UNSUPPORTED	UNMODELED	entityInside teleports; also overrides the entity-inside shape
EyeblossomBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on !isClientSide and on the entity being a Bee
FarmlandBlock	NO_MOVEMENT_EFFECT	NONE	fallOn's turnToDirt is inside `level instanceof ServerLevel`, so the client hook is only super.fallOn. The mutation is a server write represented by a timed world event, not a movement hook; the 15/16 shape and isSuffocating(Blocks::always) are world facts
FenceBlock	GEOMETRY_ONLY	NONE	CrossCollisionBlock.getCollisionShape returns a per-state shape taller than the outline — the 1.5-block collision that stops a player walking off a fence. Geometry the palette already carries
FenceGateBlock	GEOMETRY_ONLY	NONE	shape only; open/closed is baked into the state
FireBlock	NO_MOVEMENT_EFFECT	MODELED	BaseFireBlock.entityInside schedules FIRE_IGNITE and hurt(inFire, fireDamage); nothing in the movement path and no collision box at all, so a plan walks through it and only the server notices. Inherited, which is why the gate never saw it (2026-08-13)
FrogspawnBlock	NO_MOVEMENT_EFFECT	NONE	entityInside is gated on the entity being a FALLING_BLOCK
GrindstoneBlock	GEOMETRY_ONLY	NONE	shape only
HayBlock	NO_MOVEMENT_EFFECT	NONE	fallOn only lowers the damage modifier passed to causeFallDamage
HoneyBlock	MODELED	NONE	entityInside's slide clamps descent to getNewDeltaY(-0.05) and resets fall distance inside a contact band one sixteenth wide; the advancement is ServerPlayer-gated, and particles and sounds only consume level.getRandom(). Verified by honey-slide
HopperBlock	NO_MOVEMENT_EFFECT	NONE	entityInside delegates to HopperBlockEntity, gated on the entity being an ItemEntity
IronBarsBlock	GEOMETRY_ONLY	NONE	Same inherited CrossCollisionBlock.getCollisionShape
LavaCauldronBlock	MODELED	MODELED	entityInside collects CLEAR_FREEZE; the kernel reproduces FILLED_SHAPE contact and collector ordering while damage and fire remain outside the movement state
LayeredCauldronBlock	NO_MOVEMENT_EFFECT	UNMODELED	Legacy records refuse server contact. Source-catalog admission supplies level-specific inside shapes and successors for ScheduledSimulation; mutation requires branch-owned worlds, explicit permission and an admitted notification closure.
